"Date","Price","Open","High","Low","Vol.","Change %"
"05-01-2024","311.33","322.17","322.17","304.64","1.09M","-2.06%"
"04-01-2024","317.88","297.66","319.54","297.66","2.13M","5.60%"
"03-01-2024","301.03","301.16","304.79","296.82","2.51M","1.65%"
"02-01-2024","296.15","286.71","301.11","283.04","4.66M","3.41%"
"01-01-2024","286.38","284.96","290.56","283.50","423.71K","0.77%"
"29-12-2023","284.20","281.90","286.71","278.42","1.27M","0.86%"
"28-12-2023","281.77","286.27","288.90","277.56","583.29K","-1.38%"
"27-12-2023","285.71","283.65","291.09","278.66","1.08M","0.27%"
"26-12-2023","284.94","279.05","290.04","272.86","1.50M","2.41%"
"22-12-2023","278.24","263.95","279.71","263.95","1.97M","5.44%"
"21-12-2023","263.88","256.18","266.14","249.94","695.76K","4.81%"
"20-12-2023","251.78","263.51","270.28","247.80","1.30M","-4.36%"
"19-12-2023","263.27","258.26","266.16","256.95","787.71K","1.90%"
"18-12-2023","258.37","254.32","260.91","252.92","404.58K","0.92%"
"15-12-2023","256.01","256.07","261.41","252.77","569.39K","-0.42%"
"14-12-2023","257.08","256.12","259.09","253.05","989.33K","0.70%"
"13-12-2023","255.28","240.79","257.69","240.20","3.49M","6.64%"
"12-12-2023","239.39","236.37","242.02","233.16","1.18M","1.71%"
"11-12-2023","235.37","226.00","246.31","224.45","4.95M","4.97%"
"08-12-2023","224.23","213.52","225.32","212.96","1.80M","5.37%"
"07-12-2023","212.80","213.31","218.40","210.99","408.96K","-0.24%"
"06-12-2023","213.31","215.78","216.54","212.12","401.94K","-0.71%"
"05-12-2023","214.84","218.08","219.56","213.72","399.54K","-1.10%"
"04-12-2023","217.22","228.06","228.49","216.85","556.81K","-1.21%"
"01-12-2023","219.89","214.05","221.45","214.05","833.66K","3.23%"
"30-11-2023","213.02","213.61","216.63","212.39","210.32K","0.14%"
"29-11-2023","212.71","217.99","218.62","211.45","402.37K","-1.99%"
"28-11-2023","217.03","217.99","220.07","216.08","189.15K","-0.05%"
"24-11-2023","217.14","217.86","221.45","216.72","334.53K","0.16%"
"23-11-2023","216.79","215.19","219.74","213.33","413.64K","1.73%"
"22-11-2023","213.11","217.92","217.97","212.36","157.27K","-1.74%"
"21-11-2023","216.87","215.14","222.98","215.14","702.64K","1.00%"
"20-11-2023","214.73","212.30","217.90","211.38","364.80K","1.13%"
"17-11-2023","212.32","208.29","214.44","206.74","464.80K","1.08%"
"16-11-2023","210.04","211.95","213.28","209.32","172.94K","-0.90%"
"15-11-2023","211.95","210.50","213.61","210.13","150.98K","1.11%"
"13-11-2023","209.63","211.40","213.48","208.80","119.64K","-56.49%"
"12-11-2023","481.80","483.20","486.20","480.05","38.28K","128.00%"
"10-11-2023","211.31","211.42","214.18","208.77","155.32K","0.13%"
"09-11-2023","211.03","212.52","214.25","210.15","89.55K","-1.07%"
"08-11-2023","213.31","212.74","215.34","211.58","165.85K","0.03%"
"07-11-2023","213.24","212.74","214.20","209.80","198.13K","1.07%"
"06-11-2023","210.99","208.27","213.63","204.42","533.67K","1.80%"
"03-11-2023","207.26","219.70","220.64","205.08","936.69K","-5.66%"
"02-11-2023","219.70","211.14","224.25","210.96","1.29M","4.32%"
"01-11-2023","210.59","210.02","212.30","209.85","173.96K","0.89%"
"31-10-2023","208.73","215.71","217.55","206.98","358.43K","-2.45%"
"30-10-2023","213.98","221.05","225.82","212.74","1.42M","-1.89%"
"27-10-2023","218.10","208.95","220.18","208.93","290.44K","4.76%"
"26-10-2023","208.18","212.32","212.91","205.45","179.66K","-2.03%"
"25-10-2023","212.50","216.76","216.76","208.80","272.46K","0.04%"
"23-10-2023","212.41","223.00","223.00","210.64","590.77K","-2.47%"
"20-10-2023","217.79","224.55","225.43","217.11","179.53K","-2.90%"
"19-10-2023","224.29","222.06","226.31","222.06","206.25K","-0.28%"
"18-10-2023","224.93","227.12","231.25","223.24","631.19K","-1.00%"
"17-10-2023","227.20","224.12","228.49","222.50","538.36K","1.64%"
"16-10-2023","223.53","222.76","227.60","222.72","249.57K","0.09%"
"13-10-2023","223.33","224.55","226.13","221.64","196.13K","-0.96%"
"12-10-2023","225.50","222.85","228.84","221.58","874.37K","1.79%"
"11-10-2023","221.53","221.29","223.46","219.32","196.15K","0.24%"
"10-10-2023","221.01","219.65","222.80","219.65","288.99K","0.85%"
"09-10-2023","219.15","219.30","221.49","214.84","378.27K","0.04%"
"06-10-2023","219.06","224.71","225.52","218.08","1.47M","-1.66%"
"05-10-2023","222.76","224.12","227.16","220.62","338.08K","0.16%"
"04-10-2023","222.41","217.86","226.22","217.33","978.14K","2.42%"
"03-10-2023","217.16","222.63","224.49","216.68","640.69K","-2.36%"
"29-09-2023","222.41","220.59","226.85","220.13","705.39K","1.17%"
"28-09-2023","219.83","225.82","227.44","218.86","317.25K","-2.66%"
"27-09-2023","225.82","229.39","232.28","224.18","484.88K","-1.63%"
"26-09-2023","229.57","235.50","238.56","226.77","1.92M","-2.13%"
"25-09-2023","234.56","226.74","240.31","221.93","4.53M","7.44%"
"22-09-2023","218.32","214.49","222.65","213.98","815.84K","2.39%"
"21-09-2023","213.22","214.49","216.52","211.77","458.07K","-0.19%"
"20-09-2023","213.63","210.64","215.91","207.05","627.02K","0.37%"
"18-09-2023","212.85","215.78","218.16","211.47","582.94K","-1.56%"
"15-09-2023","216.22","214.05","228.82","210.15","6.85M","5.51%"
"14-09-2023","204.92","204.42","206.17","202.82","145.54K","0.52%"
"13-09-2023","203.87","201.36","206.61","198.34","285.81K","1.90%"
"12-09-2023","200.06","206.41","208.88","198.07","428.51K","-3.12%"
"11-09-2023","206.50","214.49","214.49","204.86","472.81K","-1.89%"
"08-09-2023","210.48","210.53","214.51","207.94","648.24K","0.98%"
"07-09-2023","208.45","201.36","213.96","201.36","2.02M","3.82%"
"06-09-2023","200.79","198.29","202.67","198.29","353.99K","1.12%"
"05-09-2023","198.55","196.54","199.39","195.66","398.82K","2.13%"
"04-09-2023","194.42","192.99","198.73","192.82","489.44K","1.37%"
"01-09-2023","191.79","194.35","195.23","189.84","240.86K","-1.20%"
"31-08-2023","194.11","192.47","194.77","190.00","375.41K","1.07%"
"30-08-2023","192.05","191.07","195.23","190.85","228.91K","0.63%"
"29-08-2023","190.85","192.64","194.05","190.39","172.48K","-0.50%"
"28-08-2023","191.81","193.24","193.87","190.72","263.24K","-0.45%"
"25-08-2023","192.69","191.73","193.89","188.22","229.11K","0.50%"
"24-08-2023","191.73","187.06","192.36","186.12","267.62K","2.26%"
"23-08-2023","187.48","183.41","188.51","182.51","355.62K","2.70%"
"22-08-2023","182.55","183.50","184.63","181.66","139.94K","-0.31%"
"21-08-2023","183.12","181.66","185.53","181.66","220.65K","1.00%"
"18-08-2023","181.31","186.03","186.65","180.39","234.48K","-2.08%"
"17-08-2023","185.16","187.79","189.60","184.42","213.16K","-0.75%"
"16-08-2023","186.56","193.26","193.59","185.33","362.92K","-3.89%"
"14-08-2023","194.11","188.66","194.79","183.91","406.73K","3.12%"
"11-08-2023","188.25","192.97","193.89","186.69","253.10K","-1.67%"
"10-08-2023","191.44","191.73","193.59","190.89","375.12K","0.00%"
"09-08-2023","191.44","194.53","197.00","190.48","291.60K","-0.77%"
"08-08-2023","192.93","195.03","195.03","189.89","339.60K","-0.40%"
"07-08-2023","193.70","197.57","197.57","191.86","519.85K","-1.15%"
"04-08-2023","195.95","196.19","199.60","193.83","466.87K","0.87%"
"03-08-2023","194.26","196.98","199.98","193.13","486.63K","-0.49%"
"02-08-2023","195.23","210.29","212.12","194.29","2.36M","-7.10%"
"01-08-2023","210.15","207.66","214.05","206.72","1.16M","1.68%"
"31-07-2023","206.67","203.54","207.46","202.32","554.91K","2.65%"
"28-07-2023","201.33","199.63","201.99","198.66","497.33K","1.66%"
"27-07-2023","198.05","193.04","199.58","193.04","840.39K","2.48%"
"26-07-2023","193.26","194.68","196.08","192.51","207.58K","-0.84%"
"25-07-2023","194.90","193.48","196.98","193.24","345.64K","0.06%"
"24-07-2023","194.79","193.32","196.54","190.94","464.58K","1.00%"
"21-07-2023","192.86","193.28","194.00","190.96","354.39K","0.47%"
"20-07-2023","191.97","191.27","194.20","189.01","547.54K","1.00%"
"19-07-2023","190.06","192.78","194.07","189.08","428.97K","-0.52%"
"18-07-2023","191.05","194.35","196.91","189.95","403.20K","-1.70%"
"17-07-2023","194.35","192.14","195.66","191.48","350.81K","1.88%"
"14-07-2023","190.76","190.87","193.83","189.14","268.13K","0.45%"
"13-07-2023","189.91","195.58","195.60","189.54","302.60K","-2.04%"
"12-07-2023","193.87","190.63","196.54","189.43","515.08K","2.05%"
"11-07-2023","189.97","192.38","192.38","189.10","215.08K","-0.42%"
"10-07-2023","190.78","193.87","194.77","189.32","359.54K","-1.36%"
"07-07-2023","193.41","193.91","200.48","192.10","962.50K","0.00%"
"06-07-2023","193.41","199.04","199.04","191.51","1.16M","-2.15%"
"05-07-2023","197.66","206.61","206.83","196.41","2.49M","-6.63%"
"04-07-2023","211.69","206.17","213.39","204.49","1.84M","3.28%"
"03-07-2023","204.97","196.98","207.86","196.12","5.34M","8.73%"
"30-06-2023","188.51","188.88","191.29","185.16","458.99K","0.37%"
"28-06-2023","187.81","188.25","193.26","186.49","707.18K","-0.42%"
"27-06-2023","188.60","184.02","191.22","183.87","1.51M","2.90%"
"26-06-2023","183.28","180.76","189.10","180.61","755.50K","1.39%"
"23-06-2023","180.76","182.10","182.64","178.37","352.43K","-0.29%"
"22-06-2023","181.29","181.75","182.71","177.48","430.90K","0.15%"
"21-06-2023","181.02","182.80","184.13","179.95","390.33K","-0.78%"
"20-06-2023","182.45","183.85","185.62","180.78","567.57K","-1.22%"
"19-06-2023","184.70","177.13","186.03","175.44","1.96M","4.81%"
"16-06-2023","176.23","176.73","179.82","174.68","628.12K","0.10%"
"15-06-2023","176.05","174.65","177.72","173.54","510.18K","0.41%"
"14-06-2023","175.33","177.67","177.94","173.78","482.53K","-1.61%"
"13-06-2023","178.20","178.16","181.11","175.97","694.86K","-0.42%"
"12-06-2023","178.94","174.37","179.51","173.01","2.11M","3.82%"
"09-06-2023","172.36","171.90","180.13","169.90","2.06M","0.74%"
"08-06-2023","171.09","176.40","177.89","168.79","1.42M","-1.98%"
"07-06-2023","174.54","159.09","178.81","158.87","7.28M","10.44%"
"06-06-2023","158.04","156.14","159.33","156.12","190.58K","0.87%"
"05-06-2023","156.69","158.13","159.16","156.07","153.32K","-0.43%"
"02-06-2023","157.36","157.98","158.39","154.61","392.25K","0.00%"
"01-06-2023","157.36","158.06","159.57","156.01","200.67K","0.06%"
"31-05-2023","157.28","157.10","159.33","154.17","411.28K","0.59%"
"30-05-2023","156.36","161.08","161.39","155.68","423.48K","-2.66%"
"29-05-2023","160.62","165.00","165.37","159.77","526.00K","-2.95%"
"26-05-2023","165.51","159.77","168.26","157.71","2.03M","4.02%"
"25-05-2023","159.11","166.93","171.00","151.52","3.89M","-3.73%"
"24-05-2023","165.29","161.92","166.27","160.76","827.21K","2.34%"
"23-05-2023","161.50","156.75","162.79","156.75","513.84K","3.09%"
"22-05-2023","156.66","160.43","160.65","155.83","263.23K","-2.70%"
"19-05-2023","161.02","160.65","164.37","157.19","924.97K","2.59%"
"18-05-2023","156.95","162.49","163.38","155.44","402.27K","-3.39%"
"17-05-2023","162.46","164.80","166.07","160.21","409.31K","-1.04%"
"16-05-2023","164.17","161.08","165.18","161.08","712.89K","2.32%"
"15-05-2023","160.45","159.36","161.70","157.23","258.18K","0.01%"
"12-05-2023","160.43","159.05","163.14","157.12","275.80K","0.78%"
"11-05-2023","159.18","157.14","160.91","155.98","279.12K","1.92%"
"10-05-2023","156.18","158.37","159.27","154.54","342.24K","-2.21%"
"09-05-2023","159.71","158.90","164.10","157.17","545.81K","-0.21%"
"08-05-2023","160.03","155.55","161.08","155.55","438.23K","1.30%"
"05-05-2023","157.98","157.58","163.54","156.07","995.84K","1.19%"
"04-05-2023","156.12","148.83","157.14","148.35","1.02M","5.27%"
"03-05-2023","148.30","147.58","149.27","144.45","314.99K","0.98%"
"02-05-2023","146.86","149.07","151.59","146.05","240.58K","-1.47%"
"28-04-2023","149.05","147.51","149.88","147.08","180.79K","0.93%"
"27-04-2023","147.67","148.83","150.14","147.03","307.02K","-1.06%"
"26-04-2023","149.24","147.51","150.14","146.25","378.87K","1.19%"
"25-04-2023","147.49","148.39","149.27","145.81","451.52K","0.04%"
"24-04-2023","147.43","143.58","148.72","142.26","871.50K","3.36%"
"21-04-2023","142.63","136.37","143.75","135.35","677.30K","4.11%"
"20-04-2023","137.01","135.26","137.58","134.34","288.50K","1.15%"
"19-04-2023","135.46","138.56","138.89","134.12","176.40K","-2.15%"
"18-04-2023","138.43","136.42","139.07","133.95","256.81K","2.30%"
"17-04-2023","135.32","138.32","138.32","134.47","220.71K","-1.86%"
"13-04-2023","137.88","139.20","139.37","137.18","106.54K","0.16%"
"12-04-2023","137.67","135.39","138.83","134.60","221.72K","2.28%"
"11-04-2023","134.60","135.70","136.88","133.24","138.42K","-0.98%"
"10-04-2023","135.94","133.95","136.99","132.24","257.76K","2.27%"
"06-04-2023","132.92","130.90","133.90","130.75","133.12K","0.90%"
"05-04-2023","131.73","132.96","132.96","129.55","195.72K","-0.46%"
"03-04-2023","132.35","126.18","133.95","125.80","398.95K","5.59%"
"31-03-2023","125.34","126.07","129.44","124.75","294.32K","-1.85%"
"29-03-2023","127.71","123.51","129.74","122.56","298.89K","3.18%"
"28-03-2023","123.77","123.33","124.47","123.00","237.24K","0.80%"
"27-03-2023","122.78","120.44","126.02","119.57","819.06K","2.09%"
"24-03-2023","120.27","123.88","123.88","119.54","140.38K","-2.42%"
"23-03-2023","123.24","125.37","125.37","122.80","164.99K","-1.18%"
"22-03-2023","124.71","120.59","127.55","118.87","725.77K","4.34%"
"21-03-2023","119.52","120.16","120.16","117.38","164.55K","0.50%"
"20-03-2023","118.93","120.00","121.08","118.23","160.86K","-1.77%"
"17-03-2023","121.08","121.64","122.74","119.98","169.64K","-0.18%"
"16-03-2023","121.29","122.56","122.56","118.21","249.76K","-1.60%"
"15-03-2023","123.26","122.98","124.07","121.47","234.70K","1.08%"
"14-03-2023","121.95","122.17","123.00","119.11","240.48K","-0.14%"
"13-03-2023","122.13","127.40","127.77","119.35","336.56K","-3.86%"
"10-03-2023","127.03","128.25","128.25","126.07","155.79K","-1.26%"
"09-03-2023","128.65","128.47","129.98","126.55","707.77K","0.55%"
"08-03-2023","127.95","127.82","129.15","127.38","133.26K","-0.68%"
"06-03-2023","128.82","129.35","130.25","128.45","153.45K","0.27%"
"03-03-2023","128.47","129.13","129.96","128.04","98.45K","-0.03%"
"02-03-2023","128.52","130.18","130.42","128.04","95.47K","-0.99%"
"01-03-2023","129.81","131.34","131.82","129.57","115.68K","-1.02%"
"28-02-2023","131.14","130.88","132.15","128.74","149.83K","0.35%"
"27-02-2023","130.68","129.61","131.32","127.84","140.36K","0.25%"
"24-02-2023","130.36","131.17","135.26","130.05","258.04K","-0.28%"
"23-02-2023","130.73","131.32","132.08","129.87","97.16K","0.00%"
"22-02-2023","130.73","130.01","131.30","127.16","215.22K","0.54%"
"21-02-2023","130.03","129.57","135.43","129.04","462.78K","0.52%"
"20-02-2023","129.35","130.18","131.27","128.63","123.53K","-0.24%"
"17-02-2023","129.66","128.91","130.55","128.69","97.21K","0.07%"
"16-02-2023","129.57","130.38","130.79","128.32","163.70K","-0.50%"
"15-02-2023","130.22","129.37","131.27","128.17","141.24K","0.66%"
"14-02-2023","129.37","131.73","132.17","128.69","181.16K","-1.50%"
"13-02-2023","131.34","130.88","132.19","130.05","242.76K","0.54%"
"10-02-2023","130.64","131.12","132.04","129.72","105.49K","-0.42%"
"09-02-2023","131.19","130.47","132.57","129.74","139.89K","0.28%"
"08-02-2023","130.82","132.19","132.61","130.18","178.95K","-1.04%"
"07-02-2023","132.19","131.84","133.51","130.22","162.14K","0.77%"
"06-02-2023","131.19","130.33","131.89","128.30","173.51K","1.16%"
"03-02-2023","129.68","132.63","133.29","128.91","236.62K","-1.74%"
"02-02-2023","131.98","125.10","135.63","125.06","1.22M","5.96%"
"01-02-2023","124.56","130.42","133.00","123.00","636.41K","-3.72%"
"31-01-2023","129.37","131.36","131.38","127.99","259.24K","-1.04%"
"30-01-2023","130.73","135.48","136.88","129.74","446.30K","-3.51%"
"27-01-2023","135.48","140.73","141.96","134.84","255.13K","-4.08%"
"25-01-2023","141.23","141.96","145.70","137.60","753.29K","1.18%"
"24-01-2023","139.59","147.82","152.40","137.29","1.34M","-5.40%"
"23-01-2023","147.56","145.54","148.76","143.07","274.32K","2.65%"
"20-01-2023","143.75","143.97","144.49","142.50","115.72K","0.14%"
"19-01-2023","143.55","144.45","144.98","143.18","135.44K","-0.43%"
"18-01-2023","144.17","146.51","148.70","143.60","365.68K","-1.10%"
"17-01-2023","145.76","146.20","146.75","144.93","100.79K","-0.22%"
"16-01-2023","146.09","148.02","149.24","145.33","177.58K","-0.80%"
"13-01-2023","147.27","146.40","148.50","144.82","237.71K","0.60%"
"12-01-2023","146.40","150.36","150.58","145.76","255.98K","-2.71%"
"11-01-2023","150.47","154.78","154.98","149.75","239.70K","-2.34%"
"10-01-2023","154.08","154.54","156.71","152.53","142.64K","-0.27%"
"09-01-2023","154.50","157.67","157.67","152.53","182.41K","0.37%"
"06-01-2023","153.93","155.88","156.66","153.23","210.64K","-1.25%"
"05-01-2023","155.88","158.74","160.43","154.96","252.29K","-2.36%"
"04-01-2023","159.64","160.30","163.23","156.84","492.05K","-0.41%"
"03-01-2023","160.30","155.28","160.95","155.28","484.37K","3.11%"
"02-01-2023","155.46","153.38","157.80","151.54","300.05K","1.51%"
"30-12-2022","153.14","155.39","156.71","152.24","159.55K","-1.07%"
"29-12-2022","154.80","155.02","156.93","153.23","290.28K","0.01%"
"28-12-2022","154.78","154.01","156.71","153.64","342.95K","0.88%"
"27-12-2022","153.42","151.37","155.37","151.37","329.96K","1.36%"
"26-12-2022","151.37","156.71","158.26","150.03","500.18K","-2.70%"
"23-12-2022","155.57","159.51","163.51","154.08","934.97K","-2.47%"
"22-12-2022","159.51","161.63","171.59","158.46","3.13M","-0.53%"
"21-12-2022","160.36","159.55","165.79","157.69","972.71K","0.90%"
"20-12-2022","158.94","162.40","163.14","157.58","248.76K","-1.59%"
"19-12-2022","161.50","160.12","162.35","157.32","381.34K","1.22%"
"16-12-2022","159.55","159.40","162.31","156.75","444.84K","0.10%"
"15-12-2022","159.40","160.08","165.46","158.63","1.01M","-0.01%"
"14-12-2022","159.42","163.08","164.56","157.93","612.42K","-2.61%"
"13-12-2022","163.69","162.62","165.75","161.50","610.38K","0.34%"
"12-12-2022","163.14","155.33","164.76","155.33","2.39M","5.51%"
"09-12-2022","154.63","158.02","159.05","151.67","294.05K","-1.86%"
"08-12-2022","157.56","154.30","159.16","153.34","414.27K","1.58%"
"07-12-2022","155.11","158.04","163.60","152.88","900.33K","-2.88%"
"06-12-2022","159.71","161.08","164.06","157.58","1.16M","-1.38%"
"05-12-2022","161.94","155.39","162.84","151.50","2.08M","5.76%"
"02-12-2022","153.12","150.69","154.08","148.00","473.45K","1.83%"
"01-12-2022","150.36","147.62","153.64","147.30","728.84K","1.87%"
"30-11-2022","147.60","145.13","150.78","144.01","816.54K","2.09%"
"29-11-2022","144.58","146.27","148.24","143.73","227.96K","-2.15%"
"28-11-2022","147.76","141.10","149.62","140.95","774.28K","5.24%"
"25-11-2022","140.40","140.51","142.22","139.37","159.77K","0.25%"
"24-11-2022","140.05","141.69","141.69","138.19","269.03K","-0.65%"
"23-11-2022","140.97","142.59","143.86","140.16","345.77K","-1.14%"
"22-11-2022","142.59","143.33","143.49","140.31","332.09K","-0.96%"
"21-11-2022","143.97","147.97","148.15","143.18","367.63K","-3.05%"
"18-11-2022","148.50","144.47","149.64","144.08","855.85K","2.62%"
"17-11-2022","144.71","148.35","149.33","142.92","286.53K","-2.69%"
"16-11-2022","148.72","151.08","152.22","147.95","486.02K","-1.61%"
"15-11-2022","151.15","151.02","153.60","146.68","882.51K","0.09%"
"14-11-2022","151.02","140.99","156.27","140.01","1.58M","8.13%"
"11-11-2022","139.66","137.10","141.56","137.10","698.62K","-55.41%"
"10-11-2022","313.20","315.00","318.35","310.30","156.94K","-0.89%"
"09-11-2022","316.00","328.50","330.45","314.00","557.41K","-3.54%"
"07-11-2022","327.60","330.10","332.90","326.30","339.81K","-0.26%"
"04-11-2022","328.45","319.50","330.60","318.10","731.99K","3.24%"
"03-11-2022","318.15","314.45","319.00","313.05","250.42K","1.05%"
"02-11-2022","314.85","314.35","319.20","314.00","290.13K","-0.49%"
"01-11-2022","316.40","310.80","319.05","310.00","414.93K","2.25%"
"31-10-2022","309.45","302.55","317.00","302.50","747.87K","2.81%"
"28-10-2022","301.00","300.25","305.50","298.05","362.22K","0.03%"
"27-10-2022","300.90","290.00","302.15","287.80","806.26K","4.50%"
"25-10-2022","287.95","298.00","298.45","287.00","281.21K","-3.28%"
"24-10-2022","297.70","295.00","298.50","294.95","56.50K","1.80%"
"21-10-2022","292.45","293.90","295.75","291.00","220.29K","-0.17%"
"20-10-2022","292.95","298.00","300.00","292.00","294.44K","-1.81%"
"19-10-2022","298.35","304.10","306.45","297.60","308.27K","-1.62%"
"18-10-2022","303.25","308.00","311.45","302.40","319.12K","-1.16%"
"17-10-2022","306.80","309.45","310.80","302.00","349.97K","-0.82%"
"14-10-2022","309.35","315.00","319.00","308.00","243.45K","-0.98%"
"13-10-2022","312.40","319.00","319.50","309.05","403.51K","-1.82%"
"12-10-2022","318.20","320.00","322.40","311.00","328.56K","-0.45%"
"11-10-2022","319.65","333.00","334.00","316.65","387.01K","-3.73%"
"10-10-2022","332.05","338.10","338.10","329.00","255.55K","-1.66%"
"07-10-2022","337.65","343.50","344.75","333.30","235.00K","-2.13%"
"06-10-2022","345.00","344.05","348.60","336.10","327.28K","1.25%"
"04-10-2022","340.75","339.95","347.75","336.85","387.52K","0.77%"
"03-10-2022","338.15","327.95","344.50","327.00","705.67K","1.81%"
"30-09-2022","332.15","309.90","337.20","307.45","778.31K","7.72%"
"29-09-2022","308.35","325.00","326.40","305.25","321.48K","-3.76%"
"28-09-2022","320.40","308.80","327.75","305.30","593.32K","3.62%"
"27-09-2022","309.20","312.00","314.95","303.50","183.39K","-0.26%"
"26-09-2022","310.00","318.70","319.05","307.00","172.83K","-3.64%"
"23-09-2022","321.70","329.65","334.50","317.00","253.90K","-2.19%"
"22-09-2022","328.90","326.80","332.75","320.45","259.67K","1.04%"
"21-09-2022","325.50","318.00","329.00","313.50","311.63K","1.94%"
"20-09-2022","319.30","319.50","326.40","316.00","321.41K","0.06%"
"19-09-2022","319.10","309.00","325.00","303.60","565.94K","3.27%"
"16-09-2022","309.00","330.00","330.00","305.65","374.90K","-6.18%"
"15-09-2022","329.35","332.85","333.90","328.40","152.19K","-0.86%"
"14-09-2022","332.20","337.00","337.00","330.65","208.72K","-1.86%"
"13-09-2022","338.50","332.40","341.00","330.10","378.43K","2.16%"
"12-09-2022","331.35","331.00","334.15","330.05","133.90K","0.06%"
"09-09-2022","331.15","333.50","336.90","329.50","183.06K","-0.45%"
"08-09-2022","332.65","336.50","336.50","331.55","193.81K","0.29%"
"07-09-2022","331.70","328.10","332.95","328.10","180.50K","0.41%"
"06-09-2022","330.35","332.10","333.90","328.45","124.90K","-0.20%"
"05-09-2022","331.00","326.40","332.90","326.15","166.41K","0.99%"
"02-09-2022","327.75","333.65","335.60","313.40","196.46K","-1.69%"
"01-09-2022","333.40","330.50","336.50","328.75","198.71K","0.91%"
"30-08-2022","330.40","334.80","334.80","328.50","230.50K","0.05%"
"29-08-2022","330.25","330.05","332.60","328.80","185.63K","-1.05%"
"26-08-2022","333.75","337.10","339.05","332.55","377.22K","-0.55%"
"25-08-2022","335.60","340.10","340.10","334.50","199.16K","-0.42%"
"24-08-2022","337.00","340.00","342.25","335.25","194.87K","-0.60%"
"23-08-2022","339.05","339.00","341.40","331.25","384.99K","-0.56%"
"22-08-2022","340.95","350.00","350.00","338.70","270.22K","-2.61%"
"19-08-2022","350.10","358.25","360.00","346.25","368.58K","-2.27%"
"18-08-2022","358.25","356.50","362.65","348.55","451.21K","0.52%"
"17-08-2022","356.40","349.00","365.00","347.85","1.04M","2.53%"
"16-08-2022","347.60","351.90","355.10","346.00","260.86K","-0.47%"
"12-08-2022","349.25","343.40","353.70","342.30","401.82K","1.70%"
"11-08-2022","343.40","346.50","348.60","342.00","223.54K","-0.69%"
"10-08-2022","345.80","344.80","353.70","342.90","541.80K","1.41%"
"08-08-2022","341.00","346.00","346.00","339.50","179.25K","-1.32%"
"05-08-2022","345.55","350.50","352.95","344.00","240.62K","-1.59%"
"04-08-2022","351.15","352.00","357.30","342.60","568.84K","-0.13%"
"03-08-2022","351.60","336.45","353.25","335.15","1.32M","4.86%"
"02-08-2022","335.30","334.00","336.70","331.50","240.11K","-0.10%"
"01-08-2022","335.65","331.60","341.25","331.20","325.90K","1.27%"
"29-07-2022","331.45","336.00","339.95","322.65","1.00M","-0.90%"
"28-07-2022","334.45","340.80","344.00","332.30","327.04K","-1.25%"
"27-07-2022","338.70","334.00","341.00","325.40","347.27K","1.94%"
"26-07-2022","332.25","335.10","336.00","331.00","139.03K","-0.91%"
"25-07-2022","335.30","339.60","341.65","332.65","197.19K","-1.27%"
"22-07-2022","339.60","344.95","347.35","338.50","235.08K","-1.55%"
"21-07-2022","344.95","348.80","349.75","343.00","204.32K","-1.10%"
"20-07-2022","348.80","344.00","354.40","344.00","411.04K","1.68%"
"19-07-2022","343.05","342.95","348.00","341.05","247.22K","-0.19%"
"18-07-2022","343.70","345.00","345.00","339.40","305.79K","1.09%"
"15-07-2022","340.00","343.65","345.95","334.75","432.14K","-1.06%"
"14-07-2022","343.65","342.00","361.75","339.00","1.98M","0.75%"
"13-07-2022","341.10","345.00","345.65","337.00","254.78K","-0.47%"
"12-07-2022","342.70","345.30","347.80","340.10","173.69K","-1.38%"
"11-07-2022","347.50","347.55","351.35","343.75","462.37K","-0.01%"
"08-07-2022","347.55","341.00","349.40","337.50","522.33K","1.80%"
"07-07-2022","341.40","340.70","342.75","336.50","282.20K","0.71%"
"06-07-2022","339.00","331.00","343.75","330.90","586.44K","2.25%"
"05-07-2022","331.55","337.00","339.25","329.00","292.71K","-1.31%"
"04-07-2022","335.95","337.45","341.70","332.00","339.69K","-0.44%"
"01-07-2022","337.45","325.05","340.00","325.05","632.89K","2.04%"
"30-06-2022","330.70","346.80","348.80","325.55","2.15M","-4.75%"
"29-06-2022","347.20","345.10","356.00","342.10","2.06M","-1.17%"
"28-06-2022","351.30","332.00","358.20","331.90","5.82M","4.54%"
"27-06-2022","336.05","340.50","343.70","332.20","1.90M","-1.91%"
"24-06-2022","342.60","312.80","349.00","312.50","5.63M","9.51%"
"23-06-2022","312.85","297.00","314.75","296.30","826.92K","5.35%"
"22-06-2022","296.95","304.65","304.65","294.15","503.38K","-2.53%"
"21-06-2022","304.65","302.00","311.25","298.80","551.63K","1.87%"
"20-06-2022","299.05","308.00","309.85","291.30","861.15K","-3.20%"
"17-06-2022","308.95","296.75","312.00","285.60","2.13M","4.68%"
"16-06-2022","295.15","331.80","332.25","293.35","1.79M","-9.44%"
"15-06-2022","325.90","314.90","328.20","308.55","1.58M","5.03%"
"14-06-2022","310.30","300.00","314.00","299.45","581.85K","3.68%"
"13-06-2022","299.30","305.50","309.30","293.75","872.02K","-4.68%"
"10-06-2022","314.00","309.50","324.00","305.55","1.21M","-0.22%"
"09-06-2022","314.70","330.50","336.75","306.10","2.61M","-4.26%"
"08-06-2022","328.70","322.50","330.75","318.05","354.60K","2.38%"
